phc_id,staff_id,role,reliability_score
PHC_030,STAFF_0323,pharmacist,0.66
PHC_030,STAFF_0324,pharmacist,0.92
PHC_031,STAFF_0325,doctor,0.69
PHC_031,STAFF_0326,doctor,0.91
PHC_031,STAFF_0327,nurse,0.97
PHC_031,STAFF_0328,nurse,0.81
PHC_031,STAFF_0329,nurse,0.85
PHC_031,STAFF_0330,nurse,0.98
PHC_031,STAFF_0331,nurse,0.87
PHC_031,STAFF_0332,nurse,0.86
PHC_031,STAFF_0333,pharmacist,0.78
PHC_031,STAFF_0334,pharmacist,0.78
PHC_032,STAFF_0335,doctor,0.72
PHC_032,STAFF_0336,doctor,0.9
PHC_032,STAFF_0337,doctor,0.62
PHC_032,STAFF_0338,nurse,0.78
PHC_032,STAFF_0339,nurse,0.8
PHC_032,STAFF_0340,nurse,0.8
PHC_032,STAFF_0341,nurse,0.86
PHC_032,STAFF_0342,nurse,0.91
PHC_032,STAFF_0343,pharmacist,0.93
PHC_033,STAFF_0344,doctor,0.98
PHC_033,STAFF_0345,doctor,0.96
PHC_033,STAFF_0346,doctor,0.72
PHC_033,STAFF_0347,nurse,0.69
PHC_033,STAFF_0348,nurse,0.78
PHC_033,STAFF_0349,nurse,0.85
PHC_033,STAFF_0350,nurse,0.83
PHC_033,STAFF_0351,nurse,0.64
PHC_033,STAFF_0352,pharmacist,0.92
PHC_034,STAFF_0353,doctor,0.76
PHC_034,STAFF_0354,doctor,0.68
PHC_034,STAFF_0355,nurse,0.88
PHC_034,STAFF_0356,nurse,0.83
PHC_034,STAFF_0357,nurse,0.75
PHC_034,STAFF_0358,nurse,0.74
PHC_034,STAFF_0359,nurse,0.92
PHC_034,STAFF_0360,nurse,0.81
PHC_034,STAFF_0361,nurse,0.76
PHC_034,STAFF_0362,pharmacist,0.61
PHC_035,STAFF_0363,doctor,0.96
PHC_035,STAFF_0364,doctor,0.96
PHC_035,STAFF_0365,nurse,0.84
PHC_035,STAFF_0366,nurse,0.66
PHC_035,STAFF_0367,nurse,0.82
PHC_035,STAFF_0368,nurse,0.78
PHC_035,STAFF_0369,nurse,0.86
PHC_035,STAFF_0370,pharmacist,0.6
PHC_035,STAFF_0371,pharmacist,0.82
PHC_036,STAFF_0372,doctor,0.66
PHC_036,STAFF_0373,doctor,0.94
PHC_036,STAFF_0374,nurse,0.79
PHC_036,STAFF_0375,nurse,0.59
PHC_036,STAFF_0376,nurse,0.86
PHC_036,STAFF_0377,nurse,0.93
PHC_036,STAFF_0378,nurse,0.75
PHC_036,STAFF_0379,pharmacist,0.86
PHC_036,STAFF_0380,pharmacist,0.82
PHC_037,STAFF_0381,doctor,0.76
PHC_037,STAFF_0382,doctor,0.84
PHC_037,STAFF_0383,doctor,0.89
PHC_037,STAFF_0384,nurse,0.92
PHC_037,STAFF_0385,nurse,0.87
PHC_037,STAFF_0386,nurse,0.83
PHC_037,STAFF_0387,nurse,0.97
PHC_037,STAFF_0388,pharmacist,0.56
PHC_038,STAFF_0389,doctor,0.91
PHC_038,STAFF_0390,doctor,0.83
PHC_038,STAFF_0391,nurse,0.78
PHC_038,STAFF_0392,nurse,0.73
PHC_038,STAFF_0393,nurse,0.77
PHC_038,STAFF_0394,nurse,0.78
PHC_038,STAFF_0395,nurse,0.9
PHC_038,STAFF_0396,nurse,0.82
PHC_038,STAFF_0397,nurse,0.96
PHC_038,STAFF_0398,nurse,0.75
PHC_038,STAFF_0399,nurse,0.73
PHC_038,STAFF_0400,pharmacist,0.94
PHC_038,STAFF_0401,pharmacist,0.95
PHC_038,STAFF_0402,pharmacist,0.93
PHC_039,STAFF_0403,doctor,0.8
PHC_039,STAFF_0404,doctor,0.59
PHC_039,STAFF_0405,nurse,0.88
PHC_039,STAFF_0406,nurse,0.73
PHC_039,STAFF_0407,nurse,0.87
PHC_039,STAFF_0408,nurse,0.98
PHC_039,STAFF_0409,nurse,0.67
PHC_039,STAFF_0410,nurse,0.76
PHC_039,STAFF_0411,nurse,0.85
PHC_039,STAFF_0412,nurse,0.91
PHC_039,STAFF_0413,nurse,0.87
PHC_039,STAFF_0414,pharmacist,0.84
PHC_039,STAFF_0415,pharmacist,0.87
PHC_039,STAFF_0416,pharmacist,0.58
PHC_040,STAFF_0417,doctor,0.81
PHC_040,STAFF_0418,doctor,0.57
PHC_040,STAFF_0419,nurse,0.8
PHC_040,STAFF_0420,nurse,0.9
PHC_040,STAFF_0421,nurse,0.94
PHC_040,STAFF_0422,nurse,0.76
PHC_040,STAFF_0423,nurse,0.85
PHC_040,STAFF_0424,nurse,0.85
PHC_040,STAFF_0425,pharmacist,0.69
PHC_041,STAFF_0426,doctor,0.97
PHC_041,STAFF_0427,doctor,0.82
PHC_041,STAFF_0428,doctor,0.73
PHC_041,STAFF_0429,nurse,0.68
PHC_041,STAFF_0430,nurse,0.85
PHC_041,STAFF_0431,nurse,0.87
PHC_041,STAFF_0432,nurse,0.89
PHC_041,STAFF_0433,nurse,0.79
PHC_041,STAFF_0434,nurse,0.86
PHC_041,STAFF_0435,nurse,0.64
PHC_041,STAFF_0436,nurse,0.92
PHC_041,STAFF_0437,nurse,0.93
PHC_041,STAFF_0438,pharmacist,0.96
PHC_041,STAFF_0439,pharmacist,0.89
PHC_041,STAFF_0440,pharmacist,0.94
PHC_042,STAFF_0441,doctor,0.64
PHC_042,STAFF_0442,doctor,0.92
PHC_042,STAFF_0443,doctor,0.81
PHC_042,STAFF_0444,nurse,0.87
PHC_042,STAFF_0445,nurse,0.44
PHC_042,STAFF_0446,nurse,0.97
PHC_042,STAFF_0447,nurse,0.89
PHC_042,STAFF_0448,nurse,0.77
PHC_042,STAFF_0449,pharmacist,0.96
PHC_043,STAFF_0450,doctor,0.63
PHC_043,STAFF_0451,doctor,0.68
PHC_043,STAFF_0452,doctor,0.81
PHC_043,STAFF_0453,nurse,0.81
PHC_043,STAFF_0454,nurse,0.85
PHC_043,STAFF_0455,nurse,0.64
PHC_043,STAFF_0456,nurse,0.66
PHC_043,STAFF_0457,nurse,0.83
PHC_043,STAFF_0458,nurse,0.96
PHC_043,STAFF_0459,pharmacist,0.87
PHC_043,STAFF_0460,pharmacist,0.76
PHC_044,STAFF_0461,doctor,0.92
PHC_044,STAFF_0462,doctor,0.82
PHC_044,STAFF_0463,doctor,0.74
PHC_044,STAFF_0464,nurse,0.91
PHC_044,STAFF_0465,nurse,0.89
PHC_044,STAFF_0466,nurse,0.82
PHC_044,STAFF_0467,nurse,0.95
PHC_044,STAFF_0468,nurse,0.77
PHC_044,STAFF_0469,nurse,0.75
PHC_044,STAFF_0470,nurse,0.91
PHC_044,STAFF_0471,pharmacist,0.63
PHC_044,STAFF_0472,pharmacist,0.83
PHC_045,STAFF_0473,doctor,0.9
PHC_045,STAFF_0474,doctor,0.81
PHC_045,STAFF_0475,nurse,0.89
PHC_045,STAFF_0476,nurse,0.95
PHC_045,STAFF_0477,nurse,0.93
PHC_045,STAFF_0478,nurse,0.54
PHC_045,STAFF_0479,nurse,0.26
PHC_045,STAFF_0480,nurse,0.94
PHC_045,STAFF_0481,pharmacist,0.69
PHC_045,STAFF_0482,pharmacist,0.78
PHC_046,STAFF_0483,doctor,0.66
PHC_046,STAFF_0484,doctor,0.94
PHC_046,STAFF_0485,nurse,0.77
PHC_046,STAFF_0486,nurse,0.88
PHC_046,STAFF_0487,nurse,0.76
PHC_046,STAFF_0488,nurse,0.84
PHC_046,STAFF_0489,nurse,0.95
PHC_046,STAFF_0490,nurse,0.79
PHC_046,STAFF_0491,pharmacist,0.97
PHC_047,STAFF_0492,doctor,0.91
PHC_047,STAFF_0493,doctor,0.82
PHC_047,STAFF_0494,nurse,0.92
PHC_047,STAFF_0495,nurse,0.96
PHC_047,STAFF_0496,nurse,0.66
PHC_047,STAFF_0497,nurse,0.84
PHC_047,STAFF_0498,nurse,0.87
PHC_047,STAFF_0499,pharmacist,0.9
PHC_048,STAFF_0500,doctor,0.73
PHC_048,STAFF_0501,doctor,0.45
PHC_048,STAFF_0502,nurse,0.63
PHC_048,STAFF_0503,nurse,0.64
PHC_048,STAFF_0504,nurse,0.82
PHC_048,STAFF_0505,nurse,0.74
PHC_048,STAFF_0506,pharmacist,0.7
PHC_049,STAFF_0507,doctor,0.87
PHC_049,STAFF_0508,doctor,0.7
PHC_049,STAFF_0509,doctor,0.86
PHC_049,STAFF_0510,nurse,0.85
PHC_049,STAFF_0511,nurse,0.79
PHC_049,STAFF_0512,nurse,0.72
PHC_049,STAFF_0513,nurse,0.88
PHC_049,STAFF_0514,nurse,0.78
PHC_049,STAFF_0515,nurse,0.64
PHC_049,STAFF_0516,nurse,0.91
PHC_049,STAFF_0517,nurse,0.69
PHC_049,STAFF_0518,nurse,0.79
PHC_049,STAFF_0519,pharmacist,0.86
PHC_049,STAFF_0520,pharmacist,0.96
PHC_050,STAFF_0521,doctor,0.29
PHC_050,STAFF_0522,doctor,0.8
PHC_050,STAFF_0523,doctor,0.85
PHC_050,STAFF_0524,nurse,0.73
PHC_050,STAFF_0525,nurse,0.96
PHC_050,STAFF_0526,nurse,0.79
PHC_050,STAFF_0527,nurse,0.84
PHC_050,STAFF_0528,nurse,0.88
PHC_050,STAFF_0529,nurse,0.83
PHC_050,STAFF_0530,nurse,0.75
PHC_050,STAFF_0531,nurse,0.71
PHC_050,STAFF_0532,nurse,0.85
PHC_050,STAFF_0533,nurse,0.63
PHC_050,STAFF_0534,nurse,0.55
PHC_050,STAFF_0535,pharmacist,0.67
PHC_050,STAFF_0536,pharmacist,0.82
PHC_051,STAFF_0537,doctor,0.8
PHC_051,STAFF_0538,doctor,0.83
PHC_051,STAFF_0539,doctor,0.7
PHC_051,STAFF_0540,nurse,0.95
PHC_051,STAFF_0541,nurse,0.49
PHC_051,STAFF_0542,nurse,0.75
PHC_051,STAFF_0543,nurse,0.93
PHC_051,STAFF_0544,nurse,0.75
PHC_051,STAFF_0545,nurse,0.87
PHC_051,STAFF_0546,nurse,0.91
PHC_051,STAFF_0547,nurse,0.97
PHC_051,STAFF_0548,nurse,0.8
PHC_051,STAFF_0549,pharmacist,0.79
PHC_051,STAFF_0550,pharmacist,0.92
PHC_052,STAFF_0551,doctor,0.96
PHC_052,STAFF_0552,doctor,0.56
PHC_052,STAFF_0553,doctor,0.78
PHC_052,STAFF_0554,nurse,0.71
PHC_052,STAFF_0555,nurse,0.6
PHC_052,STAFF_0556,nurse,0.73
PHC_052,STAFF_0557,nurse,0.3
PHC_052,STAFF_0558,nurse,0.89
PHC_052,STAFF_0559,nurse,0.86
PHC_052,STAFF_0560,nurse,0.76
PHC_052,STAFF_0561,pharmacist,0.71
PHC_053,STAFF_0562,doctor,0.65
PHC_053,STAFF_0563,doctor,0.83
PHC_053,STAFF_0564,doctor,0.56
PHC_053,STAFF_0565,nurse,0.97
PHC_053,STAFF_0566,nurse,0.92
PHC_053,STAFF_0567,nurse,0.92
PHC_053,STAFF_0568,nurse,0.69
PHC_053,STAFF_0569,nurse,0.74
PHC_053,STAFF_0570,nurse,0.78
PHC_053,STAFF_0571,pharmacist,0.8
PHC_053,STAFF_0572,pharmacist,0.98
PHC_054,STAFF_0573,doctor,0.9
PHC_054,STAFF_0574,doctor,0.85
PHC_054,STAFF_0575,nurse,0.84
PHC_054,STAFF_0576,nurse,0.95
PHC_054,STAFF_0577,nurse,0.53
PHC_054,STAFF_0578,nurse,0.83
PHC_054,STAFF_0579,nurse,0.93
PHC_054,STAFF_0580,pharmacist,0.86
PHC_055,STAFF_0581,doctor,0.87
PHC_055,STAFF_0582,doctor,0.92
PHC_055,STAFF_0583,doctor,0.8
PHC_055,STAFF_0584,nurse,0.7
PHC_055,STAFF_0585,nurse,0.85
PHC_055,STAFF_0586,nurse,0.82
PHC_055,STAFF_0587,nurse,0.86
PHC_055,STAFF_0588,nurse,0.89
PHC_055,STAFF_0589,nurse,0.56
PHC_055,STAFF_0590,nurse,0.86
PHC_055,STAFF_0591,nurse,0.68
PHC_055,STAFF_0592,pharmacist,0.92
PHC_055,STAFF_0593,pharmacist,0.91
PHC_056,STAFF_0594,doctor,0.72
PHC_056,STAFF_0595,doctor,0.8
PHC_056,STAFF_0596,nurse,0.85
PHC_056,STAFF_0597,nurse,0.98
PHC_056,STAFF_0598,nurse,0.91
PHC_056,STAFF_0599,nurse,0.79
PHC_056,STAFF_0600,nurse,0.96
PHC_056,STAFF_0601,nurse,0.84
PHC_056,STAFF_0602,nurse,0.73
PHC_056,STAFF_0603,pharmacist,0.69
PHC_056,STAFF_0604,pharmacist,0.48
PHC_057,STAFF_0605,doctor,0.71
PHC_057,STAFF_0606,doctor,0.61
PHC_057,STAFF_0607,nurse,0.75
PHC_057,STAFF_0608,nurse,0.77
PHC_057,STAFF_0609,nurse,0.94
PHC_057,STAFF_0610,nurse,0.88
PHC_057,STAFF_0611,nurse,0.82
PHC_057,STAFF_0612,nurse,0.93
PHC_057,STAFF_0613,nurse,0.57
PHC_057,STAFF_0614,nurse,0.87
PHC_057,STAFF_0615,pharmacist,0.62
PHC_057,STAFF_0616,pharmacist,0.83
PHC_057,STAFF_0617,pharmacist,0.83
PHC_058,STAFF_0618,doctor,0.87
PHC_058,STAFF_0619,doctor,0.91
PHC_058,STAFF_0620,nurse,0.95
PHC_058,STAFF_0621,nurse,0.92
PHC_058,STAFF_0622,nurse,0.72
PHC_058,STAFF_0623,nurse,0.83
PHC_058,STAFF_0624,nurse,0.91
PHC_058,STAFF_0625,pharmacist,0.74
