date,phc_id,drug_id,opening_stock,received_qty,dispensed_qty,closing_stock,reorder_point,safety_stock
2024-09-01,PHC_006,DENGUE_TEST_KIT,185,0,0,185,50,120
2024-09-01,PHC_006,TETANUS_TOXOID,279,0,2,277,100,200
2024-09-01,PHC_006,ORAL_ANTIBIOTIC_PEDIATRIC,546,0,2,544,150,300
2024-09-01,PHC_007,ORS_SACHET,588,0,4,584,200,400
2024-09-01,PHC_007,PARACETAMOL_500MG,1381,0,6,1375,500,1000
2024-09-01,PHC_007,AMOXICILLIN_500MG,834,0,0,834,300,600
2024-09-01,PHC_007,ANTIMALARIAL_ACT,331,0,5,326,100,250
2024-09-01,PHC_007,ANTIVENOM_VIAL,39,0,0,39,10,25
2024-09-01,PHC_007,INSULIN_VIAL,105,0,0,105,40,80
2024-09-01,PHC_007,ORAL_REHYDRATION_IV,180,0,0,180,80,150
2024-09-01,PHC_007,MEASLES_VACCINE,532,0,6,526,150,300
2024-09-01,PHC_007,ANTIHISTAMINE,751,0,2,749,200,400
2024-09-01,PHC_007,IBUPROFEN_400MG,872,0,5,867,300,600
2024-09-01,PHC_007,COUGH_SYRUP,346,0,0,346,100,200
2024-09-01,PHC_007,ANTIDIARRHEAL,408,0,9,399,150,300
2024-09-01,PHC_007,DENGUE_TEST_KIT,227,0,1,226,50,120
2024-09-01,PHC_007,TETANUS_TOXOID,297,0,1,296,100,200
2024-09-01,PHC_007,ORAL_ANTIBIOTIC_PEDIATRIC,440,0,1,439,150,300
2024-09-01,PHC_008,ORS_SACHET,726,0,4,722,200,400
2024-09-01,PHC_008,PARACETAMOL_500MG,1517,0,4,1513,500,1000
2024-09-01,PHC_008,AMOXICILLIN_500MG,1002,0,6,996,300,600
2024-09-01,PHC_008,ANTIMALARIAL_ACT,461,0,0,461,100,250
2024-09-01,PHC_008,ANTIVENOM_VIAL,44,0,0,44,10,25
2024-09-01,PHC_008,INSULIN_VIAL,157,0,3,154,40,80
2024-09-01,PHC_008,ORAL_REHYDRATION_IV,239,0,1,238,80,150
2024-09-01,PHC_008,MEASLES_VACCINE,426,0,1,425,150,300
2024-09-01,PHC_008,ANTIHISTAMINE,699,0,4,695,200,400
2024-09-01,PHC_008,IBUPROFEN_400MG,1149,0,5,1144,300,600
2024-09-01,PHC_008,COUGH_SYRUP,297,0,2,295,100,200
2024-09-01,PHC_008,ANTIDIARRHEAL,504,0,5,499,150,300
2024-09-01,PHC_008,DENGUE_TEST_KIT,176,0,1,175,50,120
2024-09-01,PHC_008,TETANUS_TOXOID,329,0,1,328,100,200
2024-09-01,PHC_008,ORAL_ANTIBIOTIC_PEDIATRIC,593,0,3,590,150,300
2024-09-01,PHC_009,ORS_SACHET,777,0,4,773,200,400
2024-09-01,PHC_009,PARACETAMOL_500MG,1775,0,9,1766,500,1000
2024-09-01,PHC_009,AMOXICILLIN_500MG,1024,0,4,1020,300,600
2024-09-01,PHC_009,ANTIMALARIAL_ACT,401,0,1,400,100,250
2024-09-01,PHC_009,ANTIVENOM_VIAL,36,0,0,36,10,25
2024-09-01,PHC_009,INSULIN_VIAL,115,0,2,113,40,80
2024-09-01,PHC_009,ORAL_REHYDRATION_IV,245,0,1,244,80,150
2024-09-01,PHC_009,MEASLES_VACCINE,386,0,1,385,150,300
2024-09-01,PHC_009,ANTIHISTAMINE,710,0,5,705,200,400
2024-09-01,PHC_009,IBUPROFEN_400MG,1119,0,2,1117,300,600
2024-09-01,PHC_009,COUGH_SYRUP,374,0,3,371,100,200
2024-09-01,PHC_009,ANTIDIARRHEAL,529,0,1,528,150,300
2024-09-01,PHC_009,DENGUE_TEST_KIT,202,0,0,202,50,120
2024-09-01,PHC_009,TETANUS_TOXOID,289,0,4,285,100,200
2024-09-01,PHC_009,ORAL_ANTIBIOTIC_PEDIATRIC,536,0,0,536,150,300
2024-09-01,PHC_010,ORS_SACHET,728,0,7,721,200,400
2024-09-01,PHC_010,PARACETAMOL_500MG,1551,0,13,1538,500,1000
2024-09-01,PHC_010,AMOXICILLIN_500MG,1123,0,6,1117,300,600
2024-09-01,PHC_010,ANTIMALARIAL_ACT,489,0,2,487,100,250
2024-09-01,PHC_010,ANTIVENOM_VIAL,36,0,0,36,10,25
2024-09-01,PHC_010,INSULIN_VIAL,104,0,2,102,40,80
2024-09-01,PHC_010,ORAL_REHYDRATION_IV,194,0,4,190,80,150
2024-09-01,PHC_010,MEASLES_VACCINE,368,0,8,360,150,300
2024-09-01,PHC_010,ANTIHISTAMINE,571,0,2,569,200,400
2024-09-01,PHC_010,IBUPROFEN_400MG,828,0,7,821,300,600
2024-09-01,PHC_010,COUGH_SYRUP,398,0,4,394,100,200
2024-09-01,PHC_010,ANTIDIARRHEAL,529,0,6,523,150,300
2024-09-01,PHC_010,DENGUE_TEST_KIT,239,0,0,239,50,120
2024-09-01,PHC_010,TETANUS_TOXOID,394,0,0,394,100,200
2024-09-01,PHC_010,ORAL_ANTIBIOTIC_PEDIATRIC,588,0,3,585,150,300
2024-09-01,PHC_011,ORS_SACHET,547,0,6,541,200,400
2024-09-01,PHC_011,PARACETAMOL_500MG,1918,0,12,1906,500,1000
2024-09-01,PHC_011,AMOXICILLIN_500MG,811,0,9,802,300,600
2024-09-01,PHC_011,ANTIMALARIAL_ACT,336,0,2,334,100,250
2024-09-01,PHC_011,ANTIVENOM_VIAL,30,0,0,30,10,25
2024-09-01,PHC_011,INSULIN_VIAL,141,0,1,140,40,80
2024-09-01,PHC_011,ORAL_REHYDRATION_IV,223,0,1,222,80,150
2024-09-01,PHC_011,MEASLES_VACCINE,361,0,0,361,150,300
2024-09-01,PHC_011,ANTIHISTAMINE,692,0,2,690,200,400
2024-09-01,PHC_011,IBUPROFEN_400MG,835,0,4,831,300,600
2024-09-01,PHC_011,COUGH_SYRUP,322,0,0,322,100,200
2024-09-01,PHC_011,ANTIDIARRHEAL,525,0,8,517,150,300
2024-09-01,PHC_011,DENGUE_TEST_KIT,194,0,1,193,50,120
2024-09-01,PHC_011,TETANUS_TOXOID,270,0,0,270,100,200
2024-09-01,PHC_011,ORAL_ANTIBIOTIC_PEDIATRIC,431,0,1,430,150,300
2024-09-01,PHC_012,ORS_SACHET,760,0,1,759,200,400
2024-09-01,PHC_012,PARACETAMOL_500MG,1521,0,9,1512,500,1000
2024-09-01,PHC_012,AMOXICILLIN_500MG,789,0,5,784,300,600
2024-09-01,PHC_012,ANTIMALARIAL_ACT,457,0,1,456,100,250
2024-09-01,PHC_012,ANTIVENOM_VIAL,44,0,0,44,10,25
2024-09-01,PHC_012,INSULIN_VIAL,117,0,2,115,40,80
2024-09-01,PHC_012,ORAL_REHYDRATION_IV,203,0,3,200,80,150
2024-09-01,PHC_012,MEASLES_VACCINE,365,0,2,363,150,300
2024-09-01,PHC_012,ANTIHISTAMINE,751,0,5,746,200,400
2024-09-01,PHC_012,IBUPROFEN_400MG,905,0,14,891,300,600
2024-09-01,PHC_012,COUGH_SYRUP,387,0,4,383,100,200
2024-09-01,PHC_012,ANTIDIARRHEAL,594,0,6,588,150,300
2024-09-01,PHC_012,DENGUE_TEST_KIT,166,0,1,165,50,120
2024-09-01,PHC_012,TETANUS_TOXOID,334,0,0,334,100,200
2024-09-01,PHC_012,ORAL_ANTIBIOTIC_PEDIATRIC,469,0,0,469,150,300
2024-09-01,PHC_013,ORS_SACHET,784,0,7,777,200,400
2024-09-01,PHC_013,PARACETAMOL_500MG,1519,0,9,1510,500,1000
2024-09-01,PHC_013,AMOXICILLIN_500MG,1191,0,6,1185,300,600
2024-09-01,PHC_013,ANTIMALARIAL_ACT,499,0,1,498,100,250
2024-09-01,PHC_013,ANTIVENOM_VIAL,43,0,0,43,10,25
2024-09-01,PHC_013,INSULIN_VIAL,153,0,1,152,40,80
2024-09-01,PHC_013,ORAL_REHYDRATION_IV,292,0,3,289,80,150
2024-09-01,PHC_013,MEASLES_VACCINE,541,0,2,539,150,300
2024-09-01,PHC_013,ANTIHISTAMINE,485,0,2,483,200,400
2024-09-01,PHC_013,IBUPROFEN_400MG,1092,0,8,1084,300,600
2024-09-01,PHC_013,COUGH_SYRUP,359,0,3,356,100,200
2024-09-01,PHC_013,ANTIDIARRHEAL,597,0,5,592,150,300
2024-09-01,PHC_013,DENGUE_TEST_KIT,186,0,0,186,50,120
2024-09-01,PHC_013,TETANUS_TOXOID,380,0,2,378,100,200
2024-09-01,PHC_013,ORAL_ANTIBIOTIC_PEDIATRIC,471,0,2,469,150,300
2024-09-01,PHC_014,ORS_SACHET,683,0,6,677,200,400
2024-09-01,PHC_014,PARACETAMOL_500MG,1803,0,15,1788,500,1000
2024-09-01,PHC_014,AMOXICILLIN_500MG,905,0,7,898,300,600
2024-09-01,PHC_014,ANTIMALARIAL_ACT,453,0,1,452,100,250
2024-09-01,PHC_014,ANTIVENOM_VIAL,32,0,0,32,10,25
2024-09-01,PHC_014,INSULIN_VIAL,105,0,3,102,40,80
2024-09-01,PHC_014,ORAL_REHYDRATION_IV,196,0,2,194,80,150
2024-09-01,PHC_014,MEASLES_VACCINE,494,0,2,492,150,300
2024-09-01,PHC_014,ANTIHISTAMINE,759,0,2,757,200,400
2024-09-01,PHC_014,IBUPROFEN_400MG,947,0,12,935,300,600
2024-09-01,PHC_014,COUGH_SYRUP,353,0,7,346,100,200
2024-09-01,PHC_014,ANTIDIARRHEAL,560,0,3,557,150,300
2024-09-01,PHC_014,DENGUE_TEST_KIT,152,0,0,152,50,120
2024-09-01,PHC_014,TETANUS_TOXOID,302,0,0,302,100,200
2024-09-01,PHC_014,ORAL_ANTIBIOTIC_PEDIATRIC,371,0,2,369,150,300
2024-09-01,PHC_015,ORS_SACHET,751,0,3,748,200,400
2024-09-01,PHC_015,PARACETAMOL_500MG,1645,0,14,1631,500,1000
2024-09-01,PHC_015,AMOXICILLIN_500MG,1080,0,9,1071,300,600
2024-09-01,PHC_015,ANTIMALARIAL_ACT,495,0,1,494,100,250
2024-09-01,PHC_015,ANTIVENOM_VIAL,35,0,0,35,10,25
2024-09-01,PHC_015,INSULIN_VIAL,153,0,2,151,40,80
2024-09-01,PHC_015,ORAL_REHYDRATION_IV,187,0,3,184,80,150
2024-09-01,PHC_015,MEASLES_VACCINE,377,0,1,376,150,300
2024-09-01,PHC_015,ANTIHISTAMINE,576,0,3,573,200,400
2024-09-01,PHC_015,IBUPROFEN_400MG,942,0,3,939,300,600
2024-09-01,PHC_015,COUGH_SYRUP,309,0,6,303,100,200
2024-09-01,PHC_015,ANTIDIARRHEAL,571,0,3,568,150,300
2024-09-01,PHC_015,DENGUE_TEST_KIT,211,0,0,211,50,120
2024-09-01,PHC_015,TETANUS_TOXOID,289,0,0,289,100,200
2024-09-01,PHC_015,ORAL_ANTIBIOTIC_PEDIATRIC,532,0,4,528,150,300
2024-09-02,PHC_001,ORS_SACHET,552,0,11,541,200,400
2024-09-02,PHC_001,PARACETAMOL_500MG,1674,0,20,1654,500,1000
2024-09-02,PHC_001,AMOXICILLIN_500MG,827,0,11,816,300,600
2024-09-02,PHC_001,ANTIMALARIAL_ACT,433,0,4,429,100,250
2024-09-02,PHC_001,ANTIVENOM_VIAL,43,0,0,43,10,25
2024-09-02,PHC_001,INSULIN_VIAL,122,0,2,120,40,80
2024-09-02,PHC_001,ORAL_REHYDRATION_IV,270,0,5,265,80,150
2024-09-02,PHC_001,MEASLES_VACCINE,579,0,4,575,150,300
2024-09-02,PHC_001,ANTIHISTAMINE,714,0,9,705,200,400
2024-09-02,PHC_001,IBUPROFEN_400MG,1182,0,10,1172,300,600
2024-09-02,PHC_001,COUGH_SYRUP,371,0,6,365,100,200
2024-09-02,PHC_001,ANTIDIARRHEAL,512,0,7,505,150,300
2024-09-02,PHC_001,DENGUE_TEST_KIT,148,0,0,148,50,120
2024-09-02,PHC_001,TETANUS_TOXOID,374,0,10,364,100,200
2024-09-02,PHC_001,ORAL_ANTIBIOTIC_PEDIATRIC,454,0,3,451,150,300
2024-09-02,PHC_002,ORS_SACHET,770,0,18,752,200,400
2024-09-02,PHC_002,PARACETAMOL_500MG,1535,0,51,1484,500,1000
2024-09-02,PHC_002,AMOXICILLIN_500MG,975,0,20,955,300,600
2024-09-02,PHC_002,ANTIMALARIAL_ACT,419,0,9,410,100,250
2024-09-02,PHC_002,ANTIVENOM_VIAL,34,0,0,34,10,25
2024-09-02,PHC_002,INSULIN_VIAL,147,0,3,144,40,80
2024-09-02,PHC_002,ORAL_REHYDRATION_IV,177,0,9,168,80,150
2024-09-02,PHC_002,MEASLES_VACCINE,478,0,3,475,150,300
2024-09-02,PHC_002,ANTIHISTAMINE,527,0,14,513,200,400
2024-09-02,PHC_002,IBUPROFEN_400MG,992,0,24,968,300,600
2024-09-02,PHC_002,COUGH_SYRUP,290,0,5,285,100,200
2024-09-02,PHC_002,ANTIDIARRHEAL,390,0,16,374,150,300
2024-09-02,PHC_002,DENGUE_TEST_KIT,171,0,5,166,50,120
2024-09-02,PHC_002,TETANUS_TOXOID,330,0,13,317,100,200
2024-09-02,PHC_002,ORAL_ANTIBIOTIC_PEDIATRIC,578,0,3,575,150,300
2024-09-02,PHC_003,ORS_SACHET,553,0,5,548,200,400
2024-09-02,PHC_003,PARACETAMOL_500MG,1615,0,8,1607,500,1000
2024-09-02,PHC_003,AMOXICILLIN_500MG,781,0,3,778,300,600
2024-09-02,PHC_003,ANTIMALARIAL_ACT,358,0,4,354,100,250
2024-09-02,PHC_003,ANTIVENOM_VIAL,36,0,0,36,10,25
2024-09-02,PHC_003,INSULIN_VIAL,107,0,1,106,40,80
2024-09-02,PHC_003,ORAL_REHYDRATION_IV,248,0,1,247,80,150
2024-09-02,PHC_003,MEASLES_VACCINE,432,0,0,432,150,300
2024-09-02,PHC_003,ANTIHISTAMINE,674,0,2,672,200,400
2024-09-02,PHC_003,IBUPROFEN_400MG,769,0,7,762,300,600
2024-09-02,PHC_003,COUGH_SYRUP,238,0,1,237,100,200
2024-09-02,PHC_003,ANTIDIARRHEAL,477,0,4,473,150,300
2024-09-02,PHC_003,DENGUE_TEST_KIT,149,0,0,149,50,120
2024-09-02,PHC_003,TETANUS_TOXOID,301,0,3,298,100,200
2024-09-02,PHC_003,ORAL_ANTIBIOTIC_PEDIATRIC,454,0,3,451,150,300
2024-09-02,PHC_004,ORS_SACHET,741,0,6,735,200,400
2024-09-02,PHC_004,PARACETAMOL_500MG,1825,0,20,1805,500,1000
2024-09-02,PHC_004,AMOXICILLIN_500MG,849,0,6,843,300,600
2024-09-02,PHC_004,ANTIMALARIAL_ACT,346,0,2,344,100,250
2024-09-02,PHC_004,ANTIVENOM_VIAL,44,0,0,44,10,25
2024-09-02,PHC_004,INSULIN_VIAL,136,0,4,132,40,80
2024-09-02,PHC_004,ORAL_REHYDRATION_IV,200,0,5,195,80,150
2024-09-02,PHC_004,MEASLES_VACCINE,573,0,0,573,150,300
2024-09-02,PHC_004,ANTIHISTAMINE,785,0,7,778,200,400
2024-09-02,PHC_004,IBUPROFEN_400MG,1153,0,16,1137,300,600
2024-09-02,PHC_004,COUGH_SYRUP,263,0,4,259,100,200
2024-09-02,PHC_004,ANTIDIARRHEAL,542,0,6,536,150,300
2024-09-02,PHC_004,DENGUE_TEST_KIT,222,0,1,221,50,120
2024-09-02,PHC_004,TETANUS_TOXOID,341,0,4,337,100,200
2024-09-02,PHC_004,ORAL_ANTIBIOTIC_PEDIATRIC,564,0,4,560,150,300
2024-09-02,PHC_005,ORS_SACHET,645,0,9,636,200,400
2024-09-02,PHC_005,PARACETAMOL_500MG,1230,0,16,1214,500,1000
2024-09-02,PHC_005,AMOXICILLIN_500MG,901,0,9,892,300,600
2024-09-02,PHC_005,ANTIMALARIAL_ACT,318,0,2,316,100,250
2024-09-02,PHC_005,ANTIVENOM_VIAL,46,0,0,46,10,25
2024-09-02,PHC_005,INSULIN_VIAL,122,0,1,121,40,80
2024-09-02,PHC_005,ORAL_REHYDRATION_IV,189,0,5,184,80,150
2024-09-02,PHC_005,MEASLES_VACCINE,586,0,1,585,150,300
2024-09-02,PHC_005,ANTIHISTAMINE,789,0,2,787,200,400
2024-09-02,PHC_005,IBUPROFEN_400MG,1054,0,8,1046,300,600
2024-09-02,PHC_005,COUGH_SYRUP,385,0,2,383,100,200
2024-09-02,PHC_005,ANTIDIARRHEAL,417,0,6,411,150,300
2024-09-02,PHC_005,DENGUE_TEST_KIT,158,0,2,156,50,120
2024-09-02,PHC_005,TETANUS_TOXOID,250,0,10,240,100,200
2024-09-02,PHC_005,ORAL_ANTIBIOTIC_PEDIATRIC,427,0,3,424,150,300
2024-09-02,PHC_006,ORS_SACHET,736,0,14,722,200,400
2024-09-02,PHC_006,PARACETAMOL_500MG,1704,0,19,1685,500,1000
2024-09-02,PHC_006,AMOXICILLIN_500MG,746,0,9,737,300,600
2024-09-02,PHC_006,ANTIMALARIAL_ACT,356,0,4,352,100,250
2024-09-02,PHC_006,ANTIVENOM_VIAL,31,0,1,30,10,25
2024-09-02,PHC_006,INSULIN_VIAL,99,0,0,99,40,80
2024-09-02,PHC_006,ORAL_REHYDRATION_IV,245,0,5,240,80,150
2024-09-02,PHC_006,MEASLES_VACCINE,437,0,2,435,150,300
2024-09-02,PHC_006,ANTIHISTAMINE,645,0,1,644,200,400
2024-09-02,PHC_006,IBUPROFEN_400MG,872,0,11,861,300,600
2024-09-02,PHC_006,COUGH_SYRUP,352,0,9,343,100,200
2024-09-02,PHC_006,ANTIDIARRHEAL,367,0,6,361,150,300
2024-09-02,PHC_006,DENGUE_TEST_KIT,185,0,1,184,50,120
2024-09-02,PHC_006,TETANUS_TOXOID,277,0,2,275,100,200
2024-09-02,PHC_006,ORAL_ANTIBIOTIC_PEDIATRIC,544,0,1,543,150,300
2024-09-02,PHC_007,ORS_SACHET,584,0,15,569,200,400
2024-09-02,PHC_007,PARACETAMOL_500MG,1375,0,26,1349,500,1000
2024-09-02,PHC_007,AMOXICILLIN_500MG,834,0,8,826,300,600
2024-09-02,PHC_007,ANTIMALARIAL_ACT,326,0,5,321,100,250
2024-09-02,PHC_007,ANTIVENOM_VIAL,39,0,0,39,10,25
2024-09-02,PHC_007,INSULIN_VIAL,105,0,1,104,40,80
2024-09-02,PHC_007,ORAL_REHYDRATION_IV,180,0,3,177,80,150
2024-09-02,PHC_007,MEASLES_VACCINE,526,0,3,523,150,300
2024-09-02,PHC_007,ANTIHISTAMINE,749,0,7,742,200,400
2024-09-02,PHC_007,IBUPROFEN_400MG,867,0,22,845,300,600
2024-09-02,PHC_007,COUGH_SYRUP,346,0,5,341,100,200
2024-09-02,PHC_007,ANTIDIARRHEAL,399,0,7,392,150,300
2024-09-02,PHC_007,DENGUE_TEST_KIT,226,0,6,220,50,120
2024-09-02,PHC_007,TETANUS_TOXOID,296,0,6,290,100,200
2024-09-02,PHC_007,ORAL_ANTIBIOTIC_PEDIATRIC,439,0,11,428,150,300
2024-09-02,PHC_008,ORS_SACHET,722,0,15,707,200,400
2024-09-02,PHC_008,PARACETAMOL_500MG,1513,0,18,1495,500,1000
2024-09-02,PHC_008,AMOXICILLIN_500MG,996,0,7,989,300,600
2024-09-02,PHC_008,ANTIMALARIAL_ACT,461,0,0,461,100,250
2024-09-02,PHC_008,ANTIVENOM_VIAL,44,0,1,43,10,25
2024-09-02,PHC_008,INSULIN_VIAL,154,0,1,153,40,80
2024-09-02,PHC_008,ORAL_REHYDRATION_IV,238,0,8,230,80,150
2024-09-02,PHC_008,MEASLES_VACCINE,425,0,3,422,150,300
2024-09-02,PHC_008,ANTIHISTAMINE,695,0,5,690,200,400
2024-09-02,PHC_008,IBUPROFEN_400MG,1144,0,13,1131,300,600
2024-09-02,PHC_008,COUGH_SYRUP,295,0,10,285,100,200
2024-09-02,PHC_008,ANTIDIARRHEAL,499,0,4,495,150,300
2024-09-02,PHC_008,DENGUE_TEST_KIT,175,0,1,174,50,120
2024-09-02,PHC_008,TETANUS_TOXOID,328,0,7,-321,100,200
2024-09-02,PHC_008,ORAL_ANTIBIOTIC_PEDIATRIC,590,0,2,588,150,300
2024-09-02,PHC_009,ORS_SACHET,773,0,9,764,200,400
2024-09-02,PHC_009,PARACETAMOL_500MG,1766,0,11,1755,500,1000
2024-09-02,PHC_009,AMOXICILLIN_500MG,1020,0,2,1018,300,600
2024-09-02,PHC_009,ANTIMALARIAL_ACT,400,0,4,396,100,250
2024-09-02,PHC_009,ANTIVENOM_VIAL,36,0,0,36,10,25
2024-09-02,PHC_009,INSULIN_VIAL,113,0,2,111,40,80
2024-09-02,PHC_009,ORAL_REHYDRATION_IV,244,0,1,243,80,150
2024-09-02,PHC_009,MEASLES_VACCINE,385,0,0,385,150,300
2024-09-02,PHC_009,ANTIHISTAMINE,705,0,6,699,200,400
2024-09-02,PHC_009,IBUPROFEN_400MG,1117,0,6,1111,300,600
2024-09-02,PHC_009,COUGH_SYRUP,371,0,4,367,100,200
2024-09-02,PHC_009,ANTIDIARRHEAL,528,0,5,523,150,300
