phc_id_from,phc_id_to,distance_km,travel_time_hours
PHC_009,PHC_007,98.8,3.08
PHC_009,PHC_008,92.6,2.88
PHC_009,PHC_010,103.5,2.82
PHC_009,PHC_011,59.7,1.54
PHC_009,PHC_012,34.0,0.88
PHC_009,PHC_013,89.3,2.39
PHC_009,PHC_014,75.3,2.11
PHC_009,PHC_015,23.2,0.8
PHC_010,PHC_001,49.7,1.66
PHC_010,PHC_002,156.6,4.04
PHC_010,PHC_003,132.3,3.75
PHC_010,PHC_004,45.5,1.62
PHC_010,PHC_005,133.3,4.56
PHC_010,PHC_006,88.0,2.45
PHC_010,PHC_007,6.1,0.22
PHC_010,PHC_008,115.9,3.87
PHC_010,PHC_009,103.5,2.99
PHC_010,PHC_011,74.1,2.04
PHC_010,PHC_012,130.9,3.65
PHC_010,PHC_013,48.5,1.58
PHC_010,PHC_014,136.5,3.74
PHC_010,PHC_015,126.1,4.09
PHC_011,PHC_001,101.3,3.18
PHC_011,PHC_002,82.5,2.23
PHC_011,PHC_003,117.3,3.28
PHC_011,PHC_004,51.5,1.35
PHC_011,PHC_005,62.1,1.73
PHC_011,PHC_006,68.0,1.95
PHC_011,PHC_007,72.6,2.49
PHC_011,PHC_008,48.3,1.49
PHC_011,PHC_009,59.7,1.91
PHC_011,PHC_010,74.1,2.4
PHC_011,PHC_012,93.7,2.36
PHC_011,PHC_013,91.4,2.79
PHC_011,PHC_014,62.4,1.61
PHC_011,PHC_015,80.7,2.27
PHC_012,PHC_001,117.8,3.14
PHC_012,PHC_002,110.8,3.26
PHC_012,PHC_003,40.1,1.15
PHC_012,PHC_004,85.5,2.52
PHC_012,PHC_005,122.3,4.03
PHC_012,PHC_006,43.6,1.19
PHC_012,PHC_007,125.6,4.0
PHC_012,PHC_008,123.0,4.35
PHC_012,PHC_009,34.0,0.95
PHC_012,PHC_010,130.9,4.35
PHC_012,PHC_011,93.7,2.39
PHC_012,PHC_013,106.1,2.69
PHC_012,PHC_014,98.1,2.52
PHC_012,PHC_015,16.8,0.52
PHC_013,PHC_001,12.3,0.44
PHC_013,PHC_002,167.0,4.27
PHC_013,PHC_003,94.7,2.86
PHC_013,PHC_004,40.4,1.02
PHC_013,PHC_005,153.0,3.87
PHC_013,PHC_006,64.0,1.67
PHC_013,PHC_007,42.9,1.36
PHC_013,PHC_008,139.5,4.28
PHC_013,PHC_009,89.3,2.34
PHC_013,PHC_010,48.5,1.53
PHC_013,PHC_011,91.4,3.04
PHC_013,PHC_012,106.1,3.06
PHC_013,PHC_014,146.9,3.74
PHC_013,PHC_015,107.5,2.96
PHC_014,PHC_001,158.2,4.54
PHC_014,PHC_002,20.4,0.7
PHC_014,PHC_003,135.4,3.83
PHC_014,PHC_004,107.0,2.68
PHC_014,PHC_005,28.7,0.97
PHC_014,PHC_006,100.3,2.93
PHC_014,PHC_007,134.7,3.5
PHC_014,PHC_008,41.4,1.12
PHC_014,PHC_009,75.3,2.07
PHC_014,PHC_010,136.5,3.75
PHC_014,PHC_011,62.4,1.93
PHC_014,PHC_012,98.1,3.11
PHC_014,PHC_013,146.9,3.9
PHC_014,PHC_015,81.2,2.15
PHC_015,PHC_001,119.6,3.11
PHC_015,PHC_002,94.3,2.42
PHC_015,PHC_003,55.7,1.63
PHC_015,PHC_004,81.0,2.38
PHC_015,PHC_005,105.6,2.81
PHC_015,PHC_006,43.5,1.22
PHC_015,PHC_007,121.2,3.33
PHC_015,PHC_008,106.9,2.85
PHC_015,PHC_009,23.2,0.6
PHC_015,PHC_010,126.1,3.93
PHC_015,PHC_011,80.7,2.48
PHC_015,PHC_012,16.8,0.58
PHC_015,PHC_013,107.5,3.08
PHC_015,PHC_014,81.2,2.86
