date,phc_id,total_beds,occupied_beds,available_beds,occupancy_pct,admissions,discharges
2024-09-01,PHC_044,25,0,25,0.0,0,0
2024-09-01,PHC_045,20,0,20,0.0,0,0
2024-09-01,PHC_046,20,0,20,0.0,0,0
2024-09-01,PHC_047,20,0,20,0.0,0,0
2024-09-01,PHC_048,15,1,14,6.7,1,0
2024-09-01,PHC_049,30,1,29,3.3,1,0
2024-09-01,PHC_050,40,0,40,0.0,0,0
2024-09-01,PHC_051,30,0,30,0.0,0,0
2024-09-01,PHC_052,25,0,25,0.0,0,0
2024-09-01,PHC_053,20,1,19,5.0,1,0
2024-09-01,PHC_054,15,2,13,13.3,2,0
2024-09-01,PHC_055,30,1,29,3.3,1,0
2024-09-01,PHC_056,25,1,24,4.0,1,0
2024-09-01,PHC_057,30,0,30,0.0,0,0
2024-09-01,PHC_058,20,0,20,0.0,0,0
2024-09-01,PHC_059,30,2,28,6.7,2,0
2024-09-01,PHC_060,20,2,18,10.0,2,0
2024-09-01,PHC_061,20,0,20,0.0,0,0
2024-09-01,PHC_062,20,0,20,0.0,0,0
2024-09-01,PHC_063,20,1,19,5.0,1,0
2024-09-01,PHC_064,20,0,20,0.0,0,0
2024-09-01,PHC_065,15,0,15,0.0,0,0
2024-09-01,PHC_066,25,1,24,4.0,1,0
2024-09-01,PHC_067,20,0,20,0.0,0,0
2024-09-01,PHC_068,15,1,14,6.7,1,0
2024-09-01,PHC_069,15,0,15,0.0,0,0
2024-09-01,PHC_070,25,0,25,0.0,0,0
2024-09-01,PHC_071,15,1,14,6.7,1,0
2024-09-01,PHC_072,25,1,24,4.0,1,0
2024-09-01,PHC_073,20,0,20,0.0,0,0
2024-09-01,PHC_074,30,0,30,0.0,0,0
2024-09-01,PHC_075,15,0,15,0.0,0,0
2024-09-01,PHC_076,15,1,14,6.7,1,0
2024-09-01,PHC_077,20,1,19,5.0,1,0
2024-09-01,PHC_078,30,0,30,0.0,0,0
2024-09-01,PHC_079,25,0,25,0.0,0,0
2024-09-01,PHC_080,20,0,20,0.0,0,0
2024-09-01,PHC_081,25,0,25,0.0,0,0
2024-09-01,PHC_082,30,1,29,3.3,1,0
2024-09-01,PHC_083,30,0,30,0.0,0,0
2024-09-01,PHC_084,20,1,19,5.0,1,0
2024-09-01,PHC_085,20,0,20,0.0,0,0
2024-09-01,PHC_086,15,0,15,0.0,0,0
2024-09-01,PHC_087,25,1,24,4.0,1,0
2024-09-01,PHC_088,25,1,24,4.0,1,0
2024-09-01,PHC_089,15,1,14,6.7,1,0
2024-09-01,PHC_090,15,0,15,0.0,0,0
2024-09-02,PHC_001,25,0,25,0.0,0,1
2024-09-02,PHC_002,30,0,30,0.0,0,0
2024-09-02,PHC_003,30,0,30,0.0,0,0
2024-09-02,PHC_004,20,4,16,20.0,1,0
2024-09-02,PHC_005,20,1,19,5.0,0,0
2024-09-02,PHC_006,40,0,40,0.0,0,0
2024-09-02,PHC_007,15,1,14,6.7,1,1
2024-09-02,PHC_008,15,2,13,13.3,1,0
2024-09-02,PHC_009,30,3,27,10.0,3,0
2024-09-02,PHC_010,15,1,14,6.7,0,0
2024-09-02,PHC_011,30,1,29,3.3,0,0
2024-09-02,PHC_012,15,0,15,0.0,0,0
2024-09-02,PHC_013,20,1,19,5.0,1,0
2024-09-02,PHC_014,15,1,14,6.7,0,0
2024-09-02,PHC_015,30,1,29,3.3,0,0
2024-09-02,PHC_016,20,0,20,0.0,0,0
2024-09-02,PHC_017,20,1,19,5.0,1,0
2024-09-02,PHC_018,30,0,30,0.0,0,0
2024-09-02,PHC_019,25,2,23,8.0,1,0
2024-09-02,PHC_020,20,1,19,5.0,1,0
2024-09-02,PHC_021,20,0,20,0.0,0,0
2024-09-02,PHC_022,25,1,24,4.0,0,0
2024-09-02,PHC_023,30,0,30,0.0,0,0
2024-09-02,PHC_024,30,1,29,3.3,0,0
2024-09-02,PHC_025,15,0,15,0.0,0,0
2024-09-02,PHC_026,15,4,11,26.7,1,0
2024-09-02,PHC_027,20,0,20,0.0,0,0
2024-09-02,PHC_028,25,2,23,8.0,2,0
2024-09-02,PHC_029,20,2,18,10.0,0,0
2024-09-02,PHC_030,15,0,15,0.0,0,0
2024-09-02,PHC_031,20,0,20,0.0,0,0
2024-09-02,PHC_032,15,1,14,6.7,0,0
2024-09-02,PHC_033,20,2,18,10.0,1,0
2024-09-02,PHC_034,25,0,25,0.0,0,0
2024-09-02,PHC_035,20,0,20,0.0,0,0
2024-09-02,PHC_036,20,3,17,15.0,1,0
2024-09-02,PHC_037,15,1,14,6.7,1,0
2024-09-02,PHC_038,30,1,29,3.3,0,0
2024-09-02,PHC_039,30,3,27,10.0,1,0
2024-09-02,PHC_040,25,0,25,0.0,0,0
2024-09-02,PHC_041,30,0,30,0.0,0,0
2024-09-02,PHC_042,20,0,20,0.0,0,1
2024-09-02,PHC_043,20,1,19,5.0,1,0
2024-09-02,PHC_044,25,1,24,4.0,1,0
2024-09-02,PHC_045,20,0,20,0.0,0,0
2024-09-02,PHC_046,20,0,20,0.0,0,0
2024-09-02,PHC_047,20,1,19,5.0,1,0
2024-09-02,PHC_048,15,1,14,6.7,0,0
2024-09-02,PHC_049,30,1,29,3.3,0,0
2024-09-02,PHC_050,40,1,39,2.5,1,0
2024-09-02,PHC_051,30,1,29,3.3,1,0
2024-09-02,PHC_052,25,1,24,4.0,1,0
2024-09-02,PHC_053,20,1,19,5.0,1,1
2024-09-02,PHC_054,15,2,13,13.3,0,0
2024-09-02,PHC_055,30,1,29,3.3,0,0
2024-09-02,PHC_056,25,1,24,4.0,0,0
2024-09-02,PHC_057,30,0,30,0.0,0,0
2024-09-02,PHC_058,20,1,19,5.0,1,0
2024-09-02,PHC_059,30,2,28,6.7,0,0
2024-09-02,PHC_060,20,2,18,10.0,0,0
2024-09-02,PHC_061,20,0,20,0.0,0,0
2024-09-02,PHC_062,20,1,19,5.0,1,0
2024-09-02,PHC_063,20,0,20,0.0,0,1
2024-09-02,PHC_064,20,0,20,0.0,0,0
2024-09-02,PHC_065,15,0,15,0.0,0,0
2024-09-02,PHC_066,25,2,23,8.0,1,0
2024-09-02,PHC_067,20,0,20,0.0,0,0
2024-09-02,PHC_068,15,3,12,20.0,2,0
2024-09-02,PHC_069,15,0,15,0.0,0,0
2024-09-02,PHC_070,25,1,24,4.0,1,0
2024-09-02,PHC_071,15,2,13,13.3,2,1
2024-09-02,PHC_072,25,4,21,16.0,3,0
2024-09-02,PHC_073,20,2,18,10.0,2,0
2024-09-02,PHC_074,30,1,29,3.3,1,0
2024-09-02,PHC_075,15,0,15,0.0,0,0
2024-09-02,PHC_076,15,2,13,13.3,1,0
2024-09-02,PHC_077,20,3,17,15.0,2,0
2024-09-02,PHC_078,30,0,30,0.0,0,0
2024-09-02,PHC_079,25,0,25,0.0,0,0
2024-09-02,PHC_080,20,0,20,0.0,0,0
2024-09-02,PHC_081,25,0,25,0.0,0,0
2024-09-02,PHC_082,30,0,30,0.0,0,1
2024-09-02,PHC_083,30,0,30,0.0,0,0
2024-09-02,PHC_084,20,2,18,10.0,1,0
2024-09-02,PHC_085,20,0,20,0.0,0,0
2024-09-02,PHC_086,15,1,14,6.7,1,0
2024-09-02,PHC_087,25,2,23,8.0,1,0
2024-09-02,PHC_088,25,1,24,4.0,0,0
2024-09-02,PHC_089,15,1,14,6.7,0,0
2024-09-02,PHC_090,15,0,15,0.0,0,0
2024-09-03,PHC_001,25,0,25,0.0,0,0
2024-09-03,PHC_002,30,0,30,0.0,0,0
2024-09-03,PHC_003,30,0,30,0.0,0,0
2024-09-03,PHC_004,20,5,15,25.0,1,0
2024-09-03,PHC_005,20,0,20,0.0,0,1
2024-09-03,PHC_006,40,0,40,0.0,0,0
2024-09-03,PHC_007,15,1,14,6.7,1,1
2024-09-03,PHC_008,15,1,14,6.7,0,1
2024-09-03,PHC_009,30,3,27,10.0,1,1
2024-09-03,PHC_010,15,0,15,0.0,0,1
2024-09-03,PHC_011,30,2,28,6.7,1,0
2024-09-03,PHC_012,15,2,13,13.3,2,0
2024-09-03,PHC_013,20,3,17,15.0,2,0
2024-09-03,PHC_014,15,1,14,6.7,0,0
2024-09-03,PHC_015,30,3,27,10.0,2,0
2024-09-03,PHC_016,20,1,19,5.0,1,0
2024-09-03,PHC_017,20,2,18,10.0,1,0
2024-09-03,PHC_018,30,0,30,0.0,0,0
2024-09-03,PHC_019,25,2,23,8.0,0,0
2024-09-03,PHC_020,20,3,17,15.0,2,0
2024-09-03,PHC_021,20,0,20,0.0,0,0
2024-09-03,PHC_022,25,1,24,4.0,1,1
2024-09-03,PHC_023,30,0,30,0.0,0,0
2024-09-03,PHC_024,30,1,29,3.3,0,0
2024-09-03,PHC_025,15,2,13,13.3,2,0
2024-09-03,PHC_026,15,5,10,33.3,1,0
2024-09-03,PHC_027,20,1,19,5.0,1,0
2024-09-03,PHC_028,25,3,22,12.0,1,0
2024-09-03,PHC_029,20,1,19,5.0,0,1
2024-09-03,PHC_030,15,0,15,0.0,0,0
2024-09-03,PHC_031,20,1,19,5.0,1,0
2024-09-03,PHC_032,15,1,14,6.7,0,0
2024-09-03,PHC_033,20,3,17,15.0,1,0
2024-09-03,PHC_034,25,1,24,4.0,1,0
2024-09-03,PHC_035,20,1,19,5.0,1,0
2024-09-03,PHC_036,20,4,16,20.0,1,0
2024-09-03,PHC_037,15,2,13,13.3,1,0
2024-09-03,PHC_038,30,1,29,3.3,0,0
2024-09-03,PHC_039,30,5,25,16.7,2,0
2024-09-03,PHC_040,25,0,25,0.0,0,0
2024-09-03,PHC_041,30,1,29,3.3,1,0
2024-09-03,PHC_042,20,0,20,0.0,0,0
2024-09-03,PHC_043,20,0,20,0.0,0,1
2024-09-03,PHC_044,25,1,24,4.0,0,0
2024-09-03,PHC_045,20,1,19,5.0,1,0
2024-09-03,PHC_046,20,0,20,0.0,0,0
2024-09-03,PHC_047,20,1,19,5.0,1,1
2024-09-03,PHC_048,15,3,12,20.0,2,0
2024-09-03,PHC_049,30,3,27,10.0,2,0
2024-09-03,PHC_050,40,1,39,2.5,0,0
2024-09-03,PHC_051,30,1,29,3.3,0,0
2024-09-03,PHC_052,25,0,25,0.0,0,1
2024-09-03,PHC_053,20,1,19,5.0,1,1
2024-09-03,PHC_054,15,2,13,13.3,0,0
2024-09-03,PHC_055,30,3,27,10.0,2,0
2024-09-03,PHC_056,25,1,24,4.0,0,0
2024-09-03,PHC_057,30,0,30,0.0,0,0
2024-09-03,PHC_058,20,0,20,0.0,0,1
2024-09-03,PHC_059,30,2,28,6.7,0,0
2024-09-03,PHC_060,20,2,18,10.0,0,0
2024-09-03,PHC_061,20,0,20,0.0,0,0
2024-09-03,PHC_062,20,1,19,5.0,0,0
2024-09-03,PHC_063,20,0,20,0.0,0,0
2024-09-03,PHC_064,20,0,20,0.0,0,0
2024-09-03,PHC_065,15,0,15,0.0,0,0
2024-09-03,PHC_066,25,2,23,8.0,1,1
2024-09-03,PHC_067,20,0,20,0.0,0,0
2024-09-03,PHC_068,15,3,12,20.0,0,0
2024-09-03,PHC_069,15,0,15,0.0,0,0
2024-09-03,PHC_070,25,2,23,8.0,1,0
2024-09-03,PHC_071,15,3,12,20.0,2,1
2024-09-03,PHC_072,25,6,19,24.0,2,0
2024-09-03,PHC_073,20,3,17,15.0,1,0
2024-09-03,PHC_074,30,2,28,6.7,1,0
2024-09-03,PHC_075,15,0,15,0.0,0,0
2024-09-03,PHC_076,15,2,13,13.3,0,0
2024-09-03,PHC_077,20,3,17,15.0,0,0
2024-09-03,PHC_078,30,0,30,0.0,0,0
2024-09-03,PHC_079,25,2,23,8.0,2,0
2024-09-03,PHC_080,20,0,20,0.0,0,0
2024-09-03,PHC_081,25,1,24,4.0,1,0
2024-09-03,PHC_082,30,0,30,0.0,0,0
2024-09-03,PHC_083,30,0,30,0.0,0,0
2024-09-03,PHC_084,20,2,18,10.0,0,0
2024-09-03,PHC_085,20,2,18,10.0,2,0
2024-09-03,PHC_086,15,2,13,13.3,1,0
2024-09-03,PHC_087,25,2,23,8.0,0,0
2024-09-03,PHC_088,25,2,23,8.0,1,0
2024-09-03,PHC_089,15,0,15,0.0,0,1
2024-09-03,PHC_090,15,0,15,0.0,0,0
2024-09-04,PHC_001,25,0,25,0.0,0,0
2024-09-04,PHC_002,30,0,30,0.0,0,0
2024-09-04,PHC_003,30,0,30,0.0,0,0
2024-09-04,PHC_004,20,4,16,20.0,0,1
2024-09-04,PHC_005,20,0,20,0.0,0,0
2024-09-04,PHC_006,40,1,39,2.5,1,0
2024-09-04,PHC_007,15,1,14,6.7,0,0
2024-09-04,PHC_008,15,1,14,6.7,1,1
2024-09-04,PHC_009,30,4,26,13.3,1,0
2024-09-04,PHC_010,15,1,14,6.7,1,0
2024-09-04,PHC_011,30,2,28,6.7,0,0
2024-09-04,PHC_012,15,3,12,20.0,1,0
2024-09-04,PHC_013,20,2,18,10.0,0,1
2024-09-04,PHC_014,15,1,14,6.7,0,0
2024-09-04,PHC_015,30,3,27,10.0,0,0
2024-09-04,PHC_016,20,2,18,10.0,1,0
2024-09-04,PHC_017,20,1,19,5.0,0,1
2024-09-04,PHC_018,30,0,30,0.0,0,0
2024-09-04,PHC_019,25,3,22,12.0,2,1
2024-09-04,PHC_020,20,2,18,10.0,0,1
2024-09-04,PHC_021,20,1,19,5.0,1,0
2024-09-04,PHC_022,25,2,23,8.0,1,0
2024-09-04,PHC_023,30,0,30,0.0,0,0
2024-09-04,PHC_024,30,2,28,6.7,1,0
2024-09-04,PHC_025,15,2,13,13.3,1,1
2024-09-04,PHC_026,15,6,9,40.0,1,0
2024-09-04,PHC_027,20,2,18,10.0,1,0
2024-09-04,PHC_028,25,3,22,12.0,0,0
2024-09-04,PHC_029,20,0,20,0.0,0,1
2024-09-04,PHC_030,15,1,14,6.7,1,0
2024-09-04,PHC_031,20,1,19,5.0,0,0
2024-09-04,PHC_032,15,2,13,13.3,1,0
2024-09-04,PHC_033,20,2,18,10.0,0,1
2024-09-04,PHC_034,25,1,24,4.0,0,0
2024-09-04,PHC_035,20,1,19,5.0,0,0
2024-09-04,PHC_036,20,5,15,25.0,1,0
2024-09-04,PHC_037,15,3,12,20.0,1,0
2024-09-04,PHC_038,30,1,29,3.3,1,1
2024-09-04,PHC_039,30,5,25,16.7,0,0
2024-09-04,PHC_040,25,1,24,4.0,1,0
2024-09-04,PHC_041,30,1,29,3.3,0,0
2024-09-04,PHC_042,20,0,20,0.0,0,0
2024-09-04,PHC_043,20,0,20,0.0,0,0
2024-09-04,PHC_044,25,2,23,8.0,1,0
2024-09-04,PHC_045,20,1,19,5.0,0,0
2024-09-04,PHC_046,20,0,20,0.0,0,0
2024-09-04,PHC_047,20,1,19,5.0,0,0
2024-09-04,PHC_048,15,3,12,20.0,0,0
2024-09-04,PHC_049,30,2,28,6.7,0,1
2024-09-04,PHC_050,40,3,37,7.5,2,0
2024-09-04,PHC_051,30,1,29,3.3,0,0
2024-09-04,PHC_052,25,1,24,4.0,1,0
2024-09-04,PHC_053,20,1,19,5.0,0,0
2024-09-04,PHC_054,15,2,13,13.3,0,0
2024-09-04,PHC_055,30,4,26,13.3,1,0
2024-09-04,PHC_056,25,2,23,8.0,1,0
2024-09-04,PHC_057,30,0,30,0.0,0,0
2024-09-04,PHC_058,20,0,20,0.0,0,0
2024-09-04,PHC_059,30,2,28,6.7,1,1
2024-09-04,PHC_060,20,2,18,10.0,0,0
2024-09-04,PHC_061,20,0,20,0.0,0,0
2024-09-04,PHC_062,20,1,19,5.0,0,0
2024-09-04,PHC_063,20,1,19,5.0,1,0
2024-09-04,PHC_064,20,0,20,0.0,0,0
2024-09-04,PHC_065,15,0,15,0.0,0,0
2024-09-04,PHC_066,25,2,23,8.0,0,0
2024-09-04,PHC_067,20,2,18,10.0,2,0
2024-09-04,PHC_068,15,3,12,20.0,0,0
2024-09-04,PHC_069,15,0,15,0.0,0,0
2024-09-04,PHC_070,25,5,20,20.0,3,0
2024-09-04,PHC_071,15,3,12,20.0,1,1
2024-09-04,PHC_072,25,3,22,12.0,0,3
2024-09-04,PHC_073,20,3,17,15.0,1,1
2024-09-04,PHC_074,30,3,27,10.0,1,0
2024-09-04,PHC_075,15,1,14,6.7,1,0
2024-09-04,PHC_076,15,3,12,20.0,2,1
2024-09-04,PHC_077,20,0,20,0.0,0,3
2024-09-04,PHC_078,30,0,30,0.0,0,0
2024-09-04,PHC_079,25,2,23,8.0,0,0
2024-09-04,PHC_080,20,0,20,0.0,0,0
2024-09-04,PHC_081,25,1,24,4.0,0,0
2024-09-04,PHC_082,30,0,30,0.0,0,0
2024-09-04,PHC_083,30,1,29,3.3,1,0
2024-09-04,PHC_084,20,1,19,5.0,0,1
2024-09-04,PHC_085,20,3,17,15.0,1,0
2024-09-04,PHC_086,15,3,12,20.0,1,0
2024-09-04,PHC_087,25,2,23,8.0,2,2
2024-09-04,PHC_088,25,1,24,4.0,0,1
2024-09-04,PHC_089,15,1,14,6.7,1,0
2024-09-04,PHC_090,15,1,14,6.7,1,0
2024-09-05,PHC_001,25,1,24,4.0,1,0
2024-09-05,PHC_002,30,0,30,0.0,0,0
2024-09-05,PHC_003,30,0,30,0.0,0,0
2024-09-05,PHC_004,20,5,15,25.0,2,1
2024-09-05,PHC_005,20,0,20,0.0,0,0
2024-09-05,PHC_006,40,1,39,2.5,0,0
2024-09-05,PHC_007,15,2,13,13.3,1,0
2024-09-05,PHC_008,15,1,14,6.7,0,0
2024-09-05,PHC_009,30,5,25,16.7,1,0
2024-09-05,PHC_010,15,1,14,6.7,0,0
2024-09-05,PHC_011,30,1,29,3.3,0,1
2024-09-05,PHC_012,15,2,13,13.3,0,1
2024-09-05,PHC_013,20,1,19,5.0,0,1
2024-09-05,PHC_014,15,1,14,6.7,0,0
2024-09-05,PHC_015,30,3,27,10.0,0,0
2024-09-05,PHC_016,20,1,19,5.0,0,1
2024-09-05,PHC_017,20,0,20,0.0,0,1
2024-09-05,PHC_018,30,0,30,0.0,0,0
2024-09-05,PHC_019,25,4,21,16.0,1,0
2024-09-05,PHC_020,20,2,18,10.0,0,0
2024-09-05,PHC_021,20,0,20,0.0,0,1
2024-09-05,PHC_022,25,3,22,12.0,1,0
2024-09-05,PHC_023,30,2,28,6.7,2,0
2024-09-05,PHC_024,30,3,27,10.0,1,0
2024-09-05,PHC_025,15,3,12,20.0,1,0
2024-09-05,PHC_026,15,3,12,20.0,0,3
2024-09-05,PHC_027,20,1,19,5.0,0,1
2024-09-05,PHC_028,25,3,22,12.0,0,0
2024-09-05,PHC_029,20,3,17,15.0,3,0
2024-09-05,PHC_030,15,1,14,6.7,0,0
2024-09-05,PHC_031,20,0,20,0.0,0,1
2024-09-05,PHC_032,15,3,12,20.0,1,0
2024-09-05,PHC_033,20,2,18,10.0,0,0
2024-09-05,PHC_034,25,1,24,4.0,0,0
2024-09-05,PHC_035,20,2,18,10.0,1,0
2024-09-05,PHC_036,20,3,17,15.0,0,2
2024-09-05,PHC_037,15,5,10,33.3,2,0
2024-09-05,PHC_038,30,1,29,3.3,0,0
2024-09-05,PHC_039,30,4,26,13.3,0,1
2024-09-05,PHC_040,25,2,23,8.0,1,0
2024-09-05,PHC_041,30,1,29,3.3,0,0
2024-09-05,PHC_042,20,0,20,0.0,0,0
2024-09-05,PHC_043,20,1,19,5.0,1,0
2024-09-05,PHC_044,25,2,23,8.0,1,1
2024-09-05,PHC_045,20,1,19,5.0,0,0
2024-09-05,PHC_046,20,0,20,0.0,0,0
2024-09-05,PHC_047,20,0,20,0.0,0,1
2024-09-05,PHC_048,15,3,12,20.0,0,0
2024-09-05,PHC_049,30,3,27,10.0,2,1
2024-09-05,PHC_050,40,2,38,5.0,0,1
2024-09-05,PHC_051,30,1,29,3.3,0,0
2024-09-05,PHC_052,25,1,24,4.0,0,0
2024-09-05,PHC_053,20,2,18,10.0,1,0
2024-09-05,PHC_054,15,2,13,13.3,0,0
2024-09-05,PHC_055,30,4,26,13.3,0,0
2024-09-05,PHC_056,25,2,23,8.0,0,0
2024-09-05,PHC_057,30,1,29,3.3,1,0
2024-09-05,PHC_058,20,0,20,0.0,0,0
2024-09-05,PHC_059,30,3,27,10.0,1,0
2024-09-05,PHC_060,20,2,18,10.0,0,0
2024-09-05,PHC_061,20,0,20,0.0,0,0
2024-09-05,PHC_062,20,2,18,10.0,1,0
2024-09-05,PHC_063,20,1,19,5.0,0,0
2024-09-05,PHC_064,20,0,20,0.0,0,0
2024-09-05,PHC_065,15,1,14,6.7,1,0
2024-09-05,PHC_066,25,2,23,8.0,0,0
2024-09-05,PHC_067,20,2,18,10.0,0,0
2024-09-05,PHC_068,15,4,11,26.7,1,0
2024-09-05,PHC_069,15,1,14,6.7,1,0
2024-09-05,PHC_070,25,6,19,24.0,1,0
2024-09-05,PHC_071,15,3,12,20.0,0,0
2024-09-05,PHC_072,25,4,21,16.0,1,0
2024-09-05,PHC_073,20,2,18,10.0,0,1
2024-09-05,PHC_074,30,1,29,3.3,0,2
2024-09-05,PHC_075,15,1,14,6.7,0,0
2024-09-05,PHC_076,15,2,13,13.3,0,1
2024-09-05,PHC_077,20,1,19,5.0,1,0
2024-09-05,PHC_078,30,1,29,3.3,1,0
2024-09-05,PHC_079,25,1,24,4.0,0,1
2024-09-05,PHC_080,20,1,19,5.0,1,0
2024-09-05,PHC_081,25,1,24,4.0,0,0
2024-09-05,PHC_082,30,0,30,0.0,0,0
2024-09-05,PHC_083,30,1,29,3.3,0,0
2024-09-05,PHC_084,20,1,19,5.0,0,0
2024-09-05,PHC_085,20,3,17,15.0,1,1
2024-09-05,PHC_086,15,3,12,20.0,0,0
2024-09-05,PHC_087,25,2,23,8.0,0,0
2024-09-05,PHC_088,25,2,23,8.0,1,0
2024-09-05,PHC_089,15,1,14,6.7,0,0
2024-09-05,PHC_090,15,1,14,6.7,0,0
2024-09-06,PHC_001,25,1,24,4.0,0,0
2024-09-06,PHC_002,30,1,29,3.3,1,0
2024-09-06,PHC_003,30,0,30,0.0,0,0
2024-09-06,PHC_004,20,4,16,20.0,0,1
2024-09-06,PHC_005,20,1,19,5.0,1,0
2024-09-06,PHC_006,40,2,38,5.0,1,0
2024-09-06,PHC_007,15,2,13,13.3,0,0
2024-09-06,PHC_008,15,2,13,13.3,1,0
2024-09-06,PHC_009,30,7,23,23.3,3,1
2024-09-06,PHC_010,15,1,14,6.7,0,0
2024-09-06,PHC_011,30,1,29,3.3,0,0
2024-09-06,PHC_012,15,2,13,13.3,0,0
2024-09-06,PHC_013,20,5,15,25.0,4,0
2024-09-06,PHC_014,15,0,15,0.0,0,1
2024-09-06,PHC_015,30,4,26,13.3,2,1
2024-09-06,PHC_016,20,1,19,5.0,0,0
2024-09-06,PHC_017,20,1,19,5.0,1,0
2024-09-06,PHC_018,30,0,30,0.0,0,0
2024-09-06,PHC_019,25,1,24,4.0,0,3
2024-09-06,PHC_020,20,0,20,0.0,0,2
2024-09-06,PHC_021,20,0,20,0.0,0,0
2024-09-06,PHC_022,25,2,23,8.0,0,1
2024-09-06,PHC_023,30,2,28,6.7,1,1
2024-09-06,PHC_024,30,2,28,6.7,0,1
2024-09-06,PHC_025,15,3,12,20.0,0,0
2024-09-06,PHC_026,15,2,13,13.3,0,1
2024-09-06,PHC_027,20,2,18,10.0,1,0
2024-09-06,PHC_028,25,4,21,16.0,1,0
2024-09-06,PHC_029,20,2,18,10.0,0,1
2024-09-06,PHC_030,15,1,14,6.7,0,0
2024-09-06,PHC_031,20,2,18,10.0,2,0
2024-09-06,PHC_032,15,1,14,6.7,0,2
2024-09-06,PHC_033,20,1,19,5.0,1,2
2024-09-06,PHC_034,25,3,22,12.0,2,0
2024-09-06,PHC_035,20,3,17,15.0,2,1
2024-09-06,PHC_036,20,2,18,10.0,0,1
2024-09-06,PHC_037,15,4,11,26.7,1,2
2024-09-06,PHC_038,30,2,28,6.7,1,0
2024-09-06,PHC_039,30,5,25,16.7,2,1
2024-09-06,PHC_040,25,2,23,8.0,0,0
2024-09-06,PHC_041,30,1,29,3.3,0,0
2024-09-06,PHC_042,20,0,20,0.0,0,0
2024-09-06,PHC_043,20,2,18,10.0,1,0
2024-09-06,PHC_044,25,3,22,12.0,1,0
2024-09-06,PHC_045,20,1,19,5.0,0,0
2024-09-06,PHC_046,20,0,20,0.0,0,0
2024-09-06,PHC_047,20,0,20,0.0,0,0
2024-09-06,PHC_048,15,3,12,20.0,1,1
2024-09-06,PHC_049,30,3,27,10.0,1,1
2024-09-06,PHC_050,40,2,38,5.0,1,1
2024-09-06,PHC_051,30,1,29,3.3,0,0
2024-09-06,PHC_052,25,2,23,8.0,1,0
2024-09-06,PHC_053,20,3,17,15.0,1,0
2024-09-06,PHC_054,15,3,12,20.0,1,0
2024-09-06,PHC_055,30,3,27,10.0,0,1
2024-09-06,PHC_056,25,2,23,8.0,0,0
2024-09-06,PHC_057,30,1,29,3.3,0,0
2024-09-06,PHC_058,20,2,18,10.0,2,0
2024-09-06,PHC_059,30,2,28,6.7,1,2
2024-09-06,PHC_060,20,2,18,10.0,1,1
2024-09-06,PHC_061,20,0,20,0.0,0,0
2024-09-06,PHC_062,20,1,19,5.0,0,1
2024-09-06,PHC_063,20,1,19,5.0,1,1
2024-09-06,PHC_064,20,1,19,5.0,1,0
2024-09-06,PHC_065,15,2,13,13.3,1,0
